Municipality,"(2017, 39)","(2017, 40)","(2017, 41)","(2017, 42)","(2017, 43)","(2017, 44)","(2017, 45)","(2017, 46)","(2017, 47)","(2017, 48)","(2017, 49)","(2017, 50)","(2017, 51)","(2017, 52)","(2018, 1)","(2018, 2)","(2018, 3)","(2018, 4)","(2018, 5)","(2018, 6)","(2018, 7)","(2018, 8)","(2018, 9)","(2018, 10)","(2018, 11)","(2018, 12)","(2018, 13)","(2018, 14)","(2018, 15)","(2018, 16)","(2018, 17)","(2018, 18)","(2018, 19)","(2018, 20)","(2018, 21)","(2018, 22)","(2018, 23)","(2018, 24)","(2018, 25)","(2018, 26)","(2018, 27)","(2018, 28)","(2018, 29)","(2018, 30)","(2018, 31)","(2018, 32)","(2018, 33)","(2018, 34)","(2018, 35)","(2018, 36)","(2018, 37)","(2018, 38)","(2018, 39)","(2018, 40)","(2018, 41)","(2018, 42)","(2018, 43)","(2018, 44)","(2018, 45)","(2018, 46)","(2018, 47)","(2018, 48)","(2018, 49)","(2018, 50)","(2018, 51)","(2018, 52)","(2019, 1)","(2019, 2)","(2019, 3)","(2019, 4)","(2019, 5)","(2019, 6)","(2019, 7)","(2019, 8)","(2019, 9)","(2019, 10)","(2019, 11)","(2019, 12)","(2019, 13)","(2019, 14)","(2019, 15)","(2019, 16)","(2019, 17)","(2019, 18)","(2019, 19)","(2019, 20)","(2019, 21)","(2019, 22)","(2019, 23)","(2019, 24)","(2019, 25)","(2019, 26)","(2019, 27)","(2019, 28)","(2019, 29)","(2019, 30)","(2019, 31)","(2019, 32)","(2019, 33)","(2019, 34)","(2019, 35)","(2019, 36)","(2019, 37)","(2019, 38)","(2019, 39)","(2019, 40)"
Siilinjärvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oulu,1.0,1.0758620689655172,1.0901639344262295,1.0482758620689656,1.4755244755244756,1.5163934426229508,1.096551724137931,1.2295081967213115,1.0689655172413792,1.0275862068965518,1.278688524590164,1.089655172413793,1.4754098360655739,1.1310344827586207,1.183431952662722,1.5081967213114753,1.289655172413793,1.4098360655737705,1.3517241379310345,1.4137931034482758,1.8442622950819672,1.6344827586206896,1.5327868852459017,1.4689655172413794,1.193103448275862,1.3114754098360655,1.4068965517241379,1.2459016393442623,1.4965517241379311,1.8620689655172413,1.5163934426229508,1.2137931034482758,1.959016393442623,1.6551724137931034,1.6482758620689655,1.4426229508196722,1.1793103448275861,1.3934426229508197,1.2551724137931035,1.1448275862068966,1.040983606557377,1.3448275862068966,1.3278688524590163,1.4413793103448276,1.4206896551724137,1.3524590163934427,1.096551724137931,1.1311475409836065,1.103448275862069,1.1448275862068966,1.1475409836065573,1.0620689655172413,1.0655737704918034,1.1517241379310346,1.4551724137931035,1.0737704918032787,1.3216783216783217,1.1639344262295082,1.006896551724138,1.1793103448275861,1.278688524590164,1.2275862068965517,1.1065573770491803,1.1586206896551725,1.4482758620689655,1.3114754098360655,1.1239669421487604,1.1639344262295082,1.4689655172413794,1.8620689655172413,1.5,1.3655172413793104,1.3524590163934427,1.289655172413793,1.2535211267605635,1.1967213114754098,1.3310344827586207,1.360655737704918,1.296551724137931,1.4482758620689655,1.3032786885245902,1.5931034482758621,1.8852459016393444,1.282758620689655,1.282758620689655,1.139344262295082,1.1448275862068966,1.0901639344262295,1.4965517241379311,1.289655172413793,1.1311475409836065,1.0551724137931036,1.098360655737705,1.0275862068965518,1.0482758620689656,1.4344262295081966,1.0206896551724138,1.0819672131147542,1.0344827586206897,1.0620689655172413,1.4918032786885247,1.0689655172413792,1.1311475409836065,1.0206896551724138,1.1172413793103448,1.0
Salo,1.0,1.0275862068965518,1.0,1.0827586206896551,1.055944055944056,1.2622950819672132,1.1241379310344828,1.0578512396694215,1.0275862068965518,1.0,1.115702479338843,1.0076923076923077,1.0743801652892562,1.013986013986014,1.0,1.1735537190082646,1.103448275862069,1.024793388429752,1.0208333333333333,1.0902777777777777,1.2704918032786885,1.8,1.628099173553719,1.2152777777777777,1.0620689655172413,1.1074380165289257,1.889655172413793,1.2892561983471074,2.0965517241379312,1.282758620689655,1.1147540983606556,1.0275862068965518,1.0819672131147542,1.5241379310344827,1.2620689655172415,1.2377049180327868,1.0344827586206897,1.0,1.006896551724138,1.0,1.0245901639344261,1.006993006993007,1.0655737704918034,1.1608391608391608,1.2083333333333333,1.1065573770491803,1.013793103448276,1.0245901639344261,1.0620689655172413,1.3263888888888888,1.0,1.006896551724138,1.0737704918032787,1.0902777777777777,1.4236111111111112,1.2540983606557377,1.0419580419580419,1.140495867768595,1.132867132867133,1.0,1.3770491803278688,1.2206896551724138,1.098360655737705,1.0413793103448277,1.0206896551724138,1.140495867768595,1.024793388429752,1.139344262295082,1.2083333333333333,1.3172413793103448,1.0655737704918034,1.0833333333333333,1.0901639344262295,1.0689655172413792,1.0413793103448277,1.2459016393442623,1.1379310344827587,1.1557377049180328,1.6689655172413793,1.4545454545454546,1.2131147540983607,1.5347222222222223,1.8360655737704918,1.110344827586207,1.0,1.0737704918032787,1.1527777777777777,1.0,1.0689655172413792,1.0,1.0,1.0,1.0,1.0,1.013793103448276,1.0081967213114753,1.0,1.0,1.0,1.0,1.0169491525423728,1.0275862068965518,1.0163934426229508,1.019047619047619,1.0384615384615385,1.0
Hämeenlinna,1.0,1.0,1.0,1.0482758620689656,1.048951048951049,1.278688524590164,1.096551724137931,1.0165289256198347,1.013793103448276,1.0,1.0901639344262295,1.006896551724138,1.0245901639344261,1.0689655172413792,1.0,1.0901639344262295,1.0482758620689656,1.0491803278688525,1.006896551724138,1.034965034965035,1.139344262295082,1.7448275862068965,2.0081967213114753,1.1379310344827587,1.096551724137931,1.2459016393442623,1.806896551724138,1.1229508196721312,2.1724137931034484,1.2689655172413794,1.0737704918032787,1.0275862068965518,1.2131147540983607,1.3793103448275863,1.167832167832168,1.0491803278688525,1.0206896551724138,1.0081967213114753,1.0,1.006896551724138,1.0163934426229508,1.0620689655172413,1.0245901639344261,1.0689655172413792,1.0,1.0245901639344261,1.0,1.0,1.0,1.0275862068965518,1.0,1.006896551724138,1.0245901639344261,1.0206896551724138,1.206896551724138,1.0819672131147542,1.027972027972028,1.0819672131147542,1.0,1.0069444444444444,1.2295081967213115,1.0482758620689656,1.0081967213114753,1.0,1.0,1.0163934426229508,1.0330578512396693,1.1475409836065573,1.1724137931034482,1.5517241379310345,1.0491803278688525,1.0,1.0163934426229508,1.132867132867133,1.0758620689655172,1.2049180327868851,1.2275862068965517,1.2131147540983607,1.5034482758620689,1.8620689655172413,1.2704918032786885,1.4896551724137932,1.7868852459016393,1.0758620689655172,1.006896551724138,1.1229508196721312,1.0396825396825398,1.0,1.013793103448276,1.0,1.0,1.0,1.0,1.0,1.0,1.0327868852459017,1.006896551724138,1.0081967213114753,1.0,1.0,1.0081967213114753,1.0,1.0,1.006896551724138,1.013793103448276,1.0
Tampere,1.0,1.0206896551724138,1.0,1.006896551724138,1.013986013986014,1.2377049180327868,1.006896551724138,1.0165289256198347,1.006896551724138,1.0551724137931036,1.0,1.0,1.0,1.013793103448276,1.0,1.1557377049180328,1.303448275862069,1.0655737704918034,1.006896551724138,1.3172413793103448,1.5901639344262295,1.4827586206896552,1.6557377049180328,1.3793103448275863,1.089655172413793,1.0901639344262295,1.282758620689655,1.0327868852459017,1.4758620689655173,1.186206896551724,1.0491803278688525,1.0620689655172413,1.0737704918032787,1.2275862068965517,1.103448275862069,1.0084033613445378,1.0,1.0084745762711864,1.0,1.0069444444444444,1.0,1.206896551724138,1.278688524590164,1.4896551724137932,1.4068965517241379,1.1083333333333334,1.0,1.0327868852459017,1.0344827586206897,1.1379310344827587,1.0,1.0206896551724138,1.0,1.013793103448276,1.393103448275862,1.2049180327868851,1.020979020979021,1.0901639344262295,1.1241379310344828,1.006896551724138,1.040983606557377,1.0344827586206897,1.040983606557377,1.006896551724138,1.0827586206896551,1.0081967213114753,1.024793388429752,1.0,1.0275862068965518,1.3724137931034484,1.2950819672131149,1.0689655172413792,1.0491803278688525,1.013793103448276,1.013793103448276,1.0,1.089655172413793,1.0,1.0416666666666667,1.4,1.1147540983606556,1.2344827586206897,1.6721311475409837,1.0344827586206897,1.0,1.0737704918032787,1.1448275862068966,1.0,1.2,1.006896551724138,1.0901639344262295,1.0,1.0083333333333333,1.0,1.0,1.0245901639344261,1.0,1.0081967213114753,1.0,1.0,1.0,1.0,1.0,1.0,1.0275862068965518,1.0
Naantali,1.125,1.0902777777777777,1.1147540983606556,1.1379310344827587,1.062937062937063,1.4672131147540983,1.193103448275862,1.0,1.0763888888888888,1.0,1.0573770491803278,1.0538461538461539,1.0,1.006896551724138,1.0059171597633136,1.2479338842975207,1.2638888888888888,1.0245901639344261,1.0422535211267605,1.25,1.4180327868852458,1.9172413793103449,2.2950819672131146,1.7379310344827585,1.3241379310344827,1.1967213114754098,2.1517241379310343,1.2066115702479339,2.475862068965517,1.5034482758620689,1.0245901639344261,1.0344827586206897,1.3032786885245902,1.6758620689655173,1.1448275862068966,1.1229508196721312,1.110344827586207,1.040983606557377,1.0,1.0,1.040983606557377,1.0347222222222223,1.2704918032786885,1.303448275862069,1.2413793103448276,1.1229508196721312,1.0275862068965518,1.040983606557377,1.0551724137931036,1.4206896551724137,1.0245901639344261,1.0689655172413792,1.0,1.0344827586206897,1.3586206896551725,1.3360655737704918,1.006993006993007,1.1475409836065573,1.1586206896551725,1.0620689655172413,1.3934426229508197,1.0413793103448277,1.0163934426229508,1.2206896551724138,1.0344827586206897,1.098360655737705,1.024793388429752,1.1311475409836065,1.1448275862068966,1.4068965517241379,1.1885245901639345,1.0620689655172413,1.0655737704918034,1.2482758620689656,1.3103448275862069,1.2704918032786885,1.1379310344827587,1.2622950819672132,1.4689655172413794,1.8611111111111112,1.139344262295082,1.4413793103448276,1.9836065573770492,1.1172413793103448,1.089655172413793,1.0901639344262295,1.3379310344827586,1.0163934426229508,1.282758620689655,1.2344827586206897,1.1475409836065573,1.1310344827586207,1.2131147540983607,1.110344827586207,1.1310344827586207,1.0655737704918034,1.013793103448276,1.0573770491803278,1.0,1.0,1.4067796610169492,1.0413793103448277,1.0655737704918034,1.0551724137931036,1.1037037037037036,1.0
Nokia,1.0833333333333333,1.1458333333333333,1.0,1.0138888888888888,1.097902097902098,1.139344262295082,1.0347222222222223,1.0163934426229508,1.0482758620689656,1.1172413793103448,1.0165289256198347,1.0206896551724138,1.0,1.0206896551724138,1.0059171597633136,1.040983606557377,1.2620689655172415,1.0081967213114753,1.0,1.2986111111111112,1.6311475409836065,1.4206896551724137,1.7540983606557377,1.7862068965517242,1.1655172413793105,1.0833333333333333,1.8551724137931034,1.1065573770491803,2.5172413793103448,1.6413793103448275,1.3032786885245902,1.296551724137931,1.7622950819672132,1.9507042253521127,1.4,1.3361344537815125,1.1586206896551725,1.0491803278688525,1.0206896551724138,1.0138888888888888,1.0655737704918034,1.3172413793103448,1.6065573770491803,1.6206896551724137,1.4620689655172414,1.1967213114754098,1.006896551724138,1.0655737704918034,1.193103448275862,1.6758620689655173,1.0163934426229508,1.0689655172413792,1.0081967213114753,1.0,1.5931034482758621,1.4180327868852458,1.006993006993007,1.1868131868131868,1.2,1.006896551724138,1.1475409836065573,1.0758620689655172,1.1557377049180328,1.110344827586207,1.2206896551724138,1.0081967213114753,1.024793388429752,1.0327868852459017,1.0689655172413792,1.3103448275862069,1.5245901639344261,1.1172413793103448,1.0081967213114753,1.3310344827586207,1.1241379310344828,1.2295081967213115,1.2344827586206897,1.1721311475409837,1.6736111111111112,2.0482758620689654,1.6557377049180328,2.0344827586206895,2.1147540983606556,1.1172413793103448,1.103448275862069,1.0,,,,,,1.0,1.0,1.0,1.0413793103448277,1.2049180327868851,1.0827586206896551,1.0573770491803278,1.0620689655172413,1.0,1.5245901639344261,1.0,1.1475409836065573,1.0,1.096551724137931,1.0
Hämeenkyrö,1.0833333333333333,1.1458333333333333,1.0,1.0138888888888888,1.097902097902098,1.139344262295082,1.0347222222222223,1.0163934426229508,1.0482758620689656,1.1172413793103448,1.0165289256198347,1.0206896551724138,1.0,1.0206896551724138,1.0059171597633136,1.040983606557377,1.2620689655172415,1.0081967213114753,1.0,1.2986111111111112,1.6311475409836065,1.4206896551724137,1.7540983606557377,1.7862068965517242,1.1655172413793105,1.0833333333333333,1.8551724137931034,1.1065573770491803,2.5172413793103448,1.6413793103448275,1.3032786885245902,1.296551724137931,1.7622950819672132,1.9507042253521127,1.4,1.3361344537815125,1.1586206896551725,1.0491803278688525,1.0206896551724138,1.0138888888888888,1.0655737704918034,1.3172413793103448,1.6065573770491803,1.6206896551724137,1.4620689655172414,1.1967213114754098,1.006896551724138,1.0655737704918034,1.193103448275862,1.6758620689655173,1.0163934426229508,1.0689655172413792,1.0081967213114753,1.0,1.5931034482758621,1.4180327868852458,1.006993006993007,1.1868131868131868,1.2,1.006896551724138,1.1475409836065573,1.0758620689655172,1.1557377049180328,1.110344827586207,1.2206896551724138,1.0081967213114753,1.024793388429752,1.0327868852459017,1.0689655172413792,1.3103448275862069,1.5245901639344261,1.1172413793103448,1.0081967213114753,1.3310344827586207,1.1241379310344828,1.2295081967213115,1.2344827586206897,1.1721311475409837,1.6736111111111112,2.0482758620689654,1.6557377049180328,2.0344827586206895,2.1147540983606556,1.1172413793103448,1.103448275862069,1.0,,,,,,1.0,1.0,1.0,1.0413793103448277,1.2049180327868851,1.0827586206896551,1.0573770491803278,1.0620689655172413,1.0,1.5245901639344261,1.0,1.1475409836065573,1.0,1.096551724137931,1.0
Alavus,1.0,1.0482758620689656,1.1229508196721312,1.0,1.1888111888111887,1.1229508196721312,1.1241379310344828,1.0163934426229508,1.013793103448276,1.1172413793103448,1.0,1.006896551724138,1.0,1.013793103448276,1.0,1.0901639344262295,1.0758620689655172,1.0901639344262295,1.0138888888888888,1.1379310344827587,1.0327868852459017,1.5034482758620689,1.5163934426229508,1.1310344827586207,1.0344827586206897,1.15,1.4896551724137932,1.2377049180327868,2.4413793103448276,1.4758620689655173,1.0819672131147542,1.0,1.2377049180327868,1.5862068965517242,1.2275862068965517,1.2131147540983607,1.1724137931034482,1.1065573770491803,1.028169014084507,1.006896551724138,1.0163934426229508,1.0620689655172413,1.3524590163934427,1.3655172413793104,1.2206896551724138,1.180327868852459,1.0344827586206897,1.0573770491803278,1.0758620689655172,1.1379310344827587,1.0163934426229508,1.027972027972028,1.040983606557377,1.0482758620689656,1.186206896551724,1.1147540983606556,1.2727272727272727,1.1475409836065573,1.013793103448276,1.096551724137931,1.2950819672131149,1.0551724137931036,1.0081967213114753,1.0,1.048951048951049,1.2459016393442623,1.0165289256198347,1.0,1.103448275862069,1.4344827586206896,1.0081967213114753,1.089655172413793,1.0245901639344261,1.1793103448275861,1.0413793103448277,1.0655737704918034,1.1379310344827587,1.0655737704918034,1.5103448275862068,1.6206896551724137,1.459016393442623,1.717241379310345,1.9426229508196722,1.006896551724138,1.0206896551724138,1.0491803278688525,1.2275862068965517,1.0163934426229508,1.2482758620689656,1.056338028169014,1.139344262295082,1.0344827586206897,1.0,1.0,1.0206896551724138,1.2295081967213115,1.013793103448276,1.0327868852459017,1.0413793103448277,1.013793103448276,1.2950819672131149,1.0275862068965518,1.0573770491803278,1.0,1.06993006993007,1.0
Vaasa,1.1666666666666667,1.1655172413793105,1.3114754098360655,1.0758620689655172,1.3356643356643356,1.278688524590164,1.0689655172413792,1.0491803278688525,1.1241379310344828,1.110344827586207,1.1557377049180328,1.0551724137931036,1.0655737704918034,1.1172413793103448,1.0236686390532543,1.2295081967213115,1.3448275862068966,1.1885245901639345,1.4275862068965517,1.606896551724138,1.5,1.6689655172413793,1.401639344262295,1.4551724137931035,1.0,1.0,1.2413793103448276,1.9262295081967213,2.5724137931034483,2.0344827586206895,1.3524590163934427,1.289655172413793,1.680327868852459,1.5172413793103448,1.2142857142857142,1.0655737704918034,1.0,1.0737704918032787,1.0,1.0,1.0,1.0344827586206897,1.1885245901639345,1.1517241379310346,1.3381294964028776,1.0,1.006896551724138,1.1065573770491803,1.0344827586206897,1.0206896551724138,1.0327868852459017,1.0620689655172413,1.180327868852459,1.1724137931034482,1.206896551724138,1.0245901639344261,1.3006993006993006,1.180327868852459,1.006896551724138,1.1310344827586207,1.3278688524590163,1.0413793103448277,1.0,1.0551724137931036,1.0482758620689656,1.040983606557377,1.0413223140495869,1.0081967213114753,1.2344827586206897,1.303448275862069,1.098360655737705,1.0620689655172413,1.0163934426229508,1.2482758620689656,1.0758620689655172,1.2459016393442623,1.1448275862068966,1.0737704918032787,1.6827586206896552,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
