municipality,"(2018, 23)","(2018, 24)","(2018, 25)","(2018, 26)","(2018, 27)","(2018, 28)","(2018, 29)","(2018, 30)","(2018, 31)","(2018, 32)","(2018, 33)","(2018, 34)","(2018, 35)","(2018, 36)","(2018, 37)","(2018, 38)","(2018, 39)","(2019, 23)","(2019, 24)","(2019, 25)","(2019, 26)","(2019, 27)","(2019, 28)","(2019, 29)","(2019, 30)","(2019, 31)","(2019, 32)","(2019, 33)","(2019, 34)","(2019, 35)","(2019, 36)","(2019, 37)"
Vehmaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinnula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Valkeakoski,0.0,0.0,0.0,0.5,0.5,,,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.0
Alajärvi,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,1.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.75,0.5,0.75,0.0,0.5,1.0,0.5
Lappeenranta,0.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.5,1.0,0.0,1.5,1.5,1.5,2.0,
Inari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurajoki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kittilä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylöjärvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,
Hattula,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0
Ranua,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,,1.0,0.0,0.0,
Muurame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juuka,,,0.0,,,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,,,0.0,1.0,0.0,,,,,,,
Jyväskylä,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siilinjärvi,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.5,0.0,0.5,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.25,1.75,0.5,0.25
Kokemäki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Oulu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0
Äänekoski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forssa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salo,0.0,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,0.6666666666666666
Porvoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maarianhamina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hailuoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heinola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hämeenlinna,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sipoo,0.5,0.3333333333333333,0.5,0.5,1.0,1.0,1.6666666666666667,1.3333333333333333,1.0,2.0,2.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,2.0,2.0,3.0,2.0,
Kustavi,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tervo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.5
Pietarsaari,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampere,0.0,0.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jämsä,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0
Rantasalmi,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikkeli,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naantali,0.0,0.5,1.0,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.6666666666666667,1.0,0.0
Puolanka,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,1.1666666666666667,0.6666666666666666,0.5,0.16666666666666666,0.5,0.0,1.1666666666666667,0.8333333333333334,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
Ylitornio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Helsinki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vihti,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,0.0
Pori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Espoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hämeenkyrö,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mustasaari,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,
Kouvola,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Alavus,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
