,area,municipality,"(1998, 23)","(1998, 24)","(1998, 25)","(1998, 26)","(1998, 27)","(1998, 28)","(1998, 29)","(1998, 30)","(1998, 31)","(1998, 32)","(1998, 33)","(1998, 34)","(1998, 35)","(1999, 23)","(1999, 24)","(1999, 25)","(1999, 26)","(1999, 27)","(1999, 28)","(1999, 29)","(1999, 30)","(1999, 31)","(1999, 32)","(1999, 33)","(1999, 34)","(1999, 35)","(1999, 36)","(1999, 37)","(1999, 38)","(1999, 39)","(2000, 23)","(2000, 24)","(2000, 25)","(2000, 26)","(2000, 27)","(2000, 28)","(2000, 29)","(2000, 30)","(2000, 31)","(2000, 32)","(2000, 33)","(2000, 34)","(2000, 35)","(2000, 36)","(2000, 37)","(2001, 23)","(2001, 24)","(2001, 25)","(2001, 26)","(2001, 27)","(2001, 28)","(2001, 29)","(2001, 30)","(2001, 31)","(2001, 32)","(2001, 33)","(2001, 34)","(2001, 35)","(2002, 23)","(2002, 24)","(2002, 25)","(2002, 26)","(2002, 27)","(2002, 28)","(2002, 29)","(2002, 30)","(2002, 31)","(2002, 32)","(2002, 33)","(2002, 34)","(2002, 35)","(2003, 23)","(2003, 24)","(2003, 25)","(2003, 26)","(2003, 27)","(2003, 28)","(2003, 29)","(2003, 30)","(2003, 31)","(2003, 32)","(2003, 33)","(2003, 34)","(2003, 35)","(2003, 36)","(2003, 37)","(2003, 38)","(2004, 23)","(2004, 24)","(2004, 25)","(2004, 26)","(2004, 27)","(2004, 28)","(2004, 29)","(2004, 30)","(2004, 31)","(2004, 32)","(2004, 33)","(2004, 34)","(2004, 35)","(2004, 36)","(2004, 37)","(2004, 38)","(2005, 23)","(2005, 24)","(2005, 25)","(2005, 26)","(2005, 27)","(2005, 28)","(2005, 29)","(2005, 30)","(2005, 31)","(2005, 32)","(2005, 33)","(2005, 34)","(2005, 35)","(2005, 36)","(2005, 37)","(2006, 23)","(2006, 24)","(2006, 25)","(2006, 26)","(2006, 27)","(2006, 28)","(2006, 29)","(2006, 30)","(2006, 31)","(2006, 32)","(2006, 33)","(2006, 34)","(2006, 35)","(2006, 36)","(2006, 37)","(2007, 23)","(2007, 24)","(2007, 25)","(2007, 26)","(2007, 27)","(2007, 28)","(2007, 29)","(2007, 30)","(2007, 31)","(2007, 32)","(2007, 33)","(2007, 34)","(2007, 35)","(2008, 23)","(2008, 24)","(2008, 25)","(2008, 26)","(2008, 27)","(2008, 28)","(2008, 29)","(2008, 30)","(2008, 31)","(2008, 32)","(2008, 33)","(2008, 34)","(2008, 35)","(2008, 36)","(2008, 37)","(2009, 23)","(2009, 24)","(2009, 25)","(2009, 26)","(2009, 27)","(2009, 28)","(2009, 29)","(2009, 30)","(2009, 31)","(2009, 32)","(2009, 33)","(2009, 34)","(2009, 35)","(2009, 36)","(2009, 37)","(2009, 38)","(2010, 23)","(2010, 24)","(2010, 25)","(2010, 26)","(2010, 27)","(2010, 28)","(2010, 29)","(2010, 30)","(2010, 31)","(2010, 32)","(2010, 33)","(2010, 34)","(2010, 35)","(2010, 36)","(2010, 37)","(2010, 38)","(2010, 39)","(2011, 23)","(2011, 24)","(2011, 25)","(2011, 26)","(2011, 27)","(2011, 28)","(2011, 29)","(2011, 30)","(2011, 31)","(2011, 32)","(2011, 33)","(2011, 34)","(2011, 35)","(2011, 36)","(2011, 37)","(2011, 38)","(2011, 39)","(2012, 23)","(2012, 24)","(2012, 25)","(2012, 26)","(2012, 27)","(2012, 28)","(2012, 29)","(2012, 30)","(2012, 31)","(2012, 32)","(2012, 33)","(2012, 34)","(2012, 35)","(2012, 36)","(2012, 37)","(2012, 38)","(2012, 39)","(2013, 23)","(2013, 24)","(2013, 25)","(2013, 26)","(2013, 27)","(2013, 28)","(2013, 29)","(2013, 30)","(2013, 31)","(2013, 32)","(2013, 33)","(2013, 34)","(2013, 35)","(2013, 36)","(2013, 37)","(2013, 38)","(2013, 39)","(2014, 23)","(2014, 24)","(2014, 25)","(2014, 26)","(2014, 27)","(2014, 28)","(2014, 29)","(2014, 30)","(2014, 31)","(2014, 32)","(2014, 33)","(2014, 34)","(2014, 35)","(2014, 36)","(2014, 37)","(2014, 38)","(2014, 39)","(2015, 23)","(2015, 24)","(2015, 25)","(2015, 26)","(2015, 27)","(2015, 28)","(2015, 29)","(2015, 30)","(2015, 31)","(2015, 32)","(2015, 33)","(2015, 34)","(2015, 35)","(2015, 36)","(2015, 37)","(2015, 38)","(2015, 39)","(2016, 23)","(2016, 24)","(2016, 25)","(2016, 26)","(2016, 27)","(2016, 28)","(2016, 29)","(2016, 30)","(2016, 31)","(2016, 32)","(2016, 33)","(2016, 34)","(2016, 35)","(2016, 36)","(2016, 37)","(2016, 38)","(2016, 39)","(2017, 23)","(2017, 24)","(2017, 25)","(2017, 26)","(2017, 27)","(2017, 28)","(2017, 29)","(2017, 30)","(2017, 31)","(2017, 32)","(2017, 33)","(2017, 34)","(2017, 35)","(2017, 36)","(2017, 37)","(2017, 38)","(2017, 39)","(2018, 23)","(2018, 24)","(2018, 25)","(2018, 26)","(2018, 27)","(2018, 28)","(2018, 29)","(2018, 30)","(2018, 31)","(2018, 32)","(2018, 33)","(2018, 34)","(2018, 35)","(2018, 36)","(2018, 37)","(2018, 38)","(2018, 39)","(2019, 23)","(2019, 24)","(2019, 25)","(2019, 26)","(2019, 27)","(2019, 28)","(2019, 29)","(2019, 30)","(2019, 31)","(2019, 32)","(2019, 33)","(2019, 34)","(2019, 35)","(2019, 36)","(2019, 37)"
152785,Ahmasjärvi (59.219.1.001),Utajärvi,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152786,Ahmo (04.651.1.003),Siilinjärvi (kunta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
169791,Ahvenanmaan kaakkoinen saaristoalue (92.412),Kökar,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.0,,,,,0.0,,0.0,,0.0,0.0,1.0,,1.0,,,,,,,,0.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169785,Ahvenanmaan kaakkoinen saaristoalue (92.412),Föglö,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,1.0,1.0,1.0,1.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169820,Ahvenanmaan kaakkoinen ulkomerialue (92.42),-,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169813,Ahvenanmaan lounainen saaristoalue (94.11),Maarianhamina,,,,,,,,,,,,,,0.0,,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,2.0,3.0,,,3.0,,,,,2.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,2.0,,1.0,,,,,0.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,1.0,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,,,,0.0,,,,1.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169814,Ahvenanmaan lounainen saaristoalue (94.11),Maarianhamina,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,2.0,,,1.0,,,,,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,,,,,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169788,Ahvenanmaan lounainen saaristoalue (94.11),Eckerö,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169787,Ahvenanmaan lounainen saaristoalue (94.11),Maarianhamina,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169783,Ahvenanmaan lounainen saaristoalue (94.11),Lemland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
