"Kuukausi","Alue","Yhteensä Yhteensä Väkiluku"
"2019M08*","KOKO MAA",5524387
"2019M08*","Akaa",16534
"2019M08*","Alajärvi",9605
"2019M08*","Alavieska",2533
"2019M08*","Alavus",11507
"2019M08*","Asikkala",8101
"2019M08*","Askola",4950
"2019M08*","Aura",3956
"2019M08*","Brändö",446
"2019M08*","Eckerö",961
"2019M08*","Enonkoski",1382
"2019M08*","Enontekiö",1829
"2019M08*","Espoo",287929
"2019M08*","Eura",11678
"2019M08*","Eurajoki",9393
"2019M08*","Evijärvi",2440
"2019M08*","Finström",2602
"2019M08*","Forssa",16921
"2019M08*","Föglö",527
"2019M08*","Geta",499
"2019M08*","Haapajärvi",7086
"2019M08*","Haapavesi",6789
"2019M08*","Hailuoto",961
"2019M08*","Halsua",1152
"2019M08*","Hamina",20209
"2019M08*","Hammarland",1563
"2019M08*","Hankasalmi",4881
"2019M08*","Hanko",8266
"2019M08*","Harjavalta",6970
"2019M08*","Hartola",2722
"2019M08*","Hattula",9459
"2019M08*","Hausjärvi",8296
"2019M08*","Heinola",18748
"2019M08*","Heinävesi",3259
"2019M08*","Helsinki",652267
"2019M08*","Hirvensalmi",2153
"2019M08*","Hollola",23433
"2019M08*","Honkajoki",1639
"2019M08*","Huittinen",10058
"2019M08*","Humppila",2203
"2019M08*","Hyrynsalmi",2268
"2019M08*","Hyvinkää",46477
"2019M08*","Hämeenkyrö",10446
"2019M08*","Hämeenlinna",67686
"2019M08*","Ii",9870
"2019M08*","Iisalmi",21393
"2019M08*","Iitti",6734
"2019M08*","Ikaalinen",6990
"2019M08*","Ilmajoki",12237
"2019M08*","Ilomantsi",4918
"2019M08*","Imatra",26681
"2019M08*","Inari",6885
"2019M08*","Inkoo",5400
"2019M08*","Isojoki",1963
"2019M08*","Isokyrö",4545
"2019M08*","Janakkala",16408
"2019M08*","Joensuu",76491
"2019M08*","Jokioinen",5151
"2019M08*","Jomala",5198
"2019M08*","Joroinen",4773
"2019M08*","Joutsa",4416
"2019M08*","Juuka",4637
"2019M08*","Juupajoki",1853
"2019M08*","Juva",6148
"2019M08*","Jyväskylä",141988
"2019M08*","Jämijärvi",1745
"2019M08*","Jämsä",20352
"2019M08*","Järvenpää",43613
"2019M08*","Kaarina",33758
"2019M08*","Kaavi",2943
"2019M08*","Kajaani",36842
"2019M08*","Kalajoki",12380
"2019M08*","Kangasala",31854
"2019M08*","Kangasniemi",5382
"2019M08*","Kankaanpää",11415
"2019M08*","Kannonkoski",1359
"2019M08*","Kannus",5476
"2019M08*","Karijoki",1271
"2019M08*","Karkkila",8774
"2019M08*","Karstula",3973
"2019M08*","Karvia",2361
"2019M08*","Kaskinen",1257
"2019M08*","Kauhajoki",13248
"2019M08*","Kauhava",15842
"2019M08*","Kauniainen",9678
"2019M08*","Kaustinen",4273
"2019M08*","Keitele",2200
"2019M08*","Kemi",20860
"2019M08*","Kemijärvi",7331
"2019M08*","Keminmaa",8085
"2019M08*","Kemiönsaari",6680
"2019M08*","Kempele",18174
"2019M08*","Kerava",36593
"2019M08*","Keuruu",9661
"2019M08*","Kihniö",1885
"2019M08*","Kinnula",1623
"2019M08*","Kirkkonummi",39445
"2019M08*","Kitee",10226
"2019M08*","Kittilä",6320
"2019M08*","Kiuruvesi",8038
"2019M08*","Kivijärvi",1091
"2019M08*","Kokemäki",7145
"2019M08*","Kokkola",47659
"2019M08*","Kolari",3811
"2019M08*","Konnevesi",2653
"2019M08*","Kontiolahti",14863
"2019M08*","Korsnäs",2101
"2019M08*","Koski Tl",2324
"2019M08*","Kotka",52357
"2019M08*","Kouvola",82559
"2019M08*","Kristiinankaupunki",6566
"2019M08*","Kruunupyy",6450
"2019M08*","Kuhmo",8235
"2019M08*","Kuhmoinen",2233
"2019M08*","Kumlinge",313
"2019M08*","Kuopio",118989
"2019M08*","Kuortane",3574
"2019M08*","Kurikka",20726
"2019M08*","Kustavi",927
"2019M08*","Kuusamo",15119
"2019M08*","Kyyjärvi",1319
"2019M08*","Kärkölä",4431
"2019M08*","Kärsämäki",2595
"2019M08*","Kökar",231
"2019M08*","Lahti",120116
"2019M08*","Laihia",8032
"2019M08*","Laitila",8614
"2019M08*","Lapinjärvi",2647
"2019M08*","Lapinlahti",9523
"2019M08*","Lappajärvi",3017
"2019M08*","Lappeenranta",72593
"2019M08*","Lapua",14333
"2019M08*","Laukaa",18921
"2019M08*","Lemi",3015
"2019M08*","Lemland",2074
"2019M08*","Lempäälä",23393
"2019M08*","Leppävirta",9507
"2019M08*","Lestijärvi",725
"2019M08*","Lieksa",10934
"2019M08*","Lieto",19978
"2019M08*","Liminka",10201
"2019M08*","Liperi",12149
"2019M08*","Lohja",46061
"2019M08*","Loimaa",15958
"2019M08*","Loppi",7863
"2019M08*","Loviisa",14814
"2019M08*","Luhanka",695
"2019M08*","Lumijoki",2016
"2019M08*","Lumparland",372
"2019M08*","Luoto",5405
"2019M08*","Luumäki",4642
"2019M08*","Maalahti",5468
"2019M08*","Maarianhamina - Mariehamn",11691
"2019M08*","Marttila",2007
"2019M08*","Masku",9551
"2019M08*","Merijärvi",1098
"2019M08*","Merikarvia",3085
"2019M08*","Miehikkälä",1889
"2019M08*","Mikkeli",53370
"2019M08*","Muhos",8933
"2019M08*","Multia",1578
"2019M08*","Muonio",2316
"2019M08*","Mustasaari",19433
"2019M08*","Muurame",10154
"2019M08*","Mynämäki",7686
"2019M08*","Myrskylä",1912
"2019M08*","Mäntsälä",20746
"2019M08*","Mänttä-Vilppula",9903
"2019M08*","Mäntyharju",5833
"2019M08*","Naantali",19288
"2019M08*","Nakkila",5374
"2019M08*","Nivala",10675
"2019M08*","Nokia",33814
"2019M08*","Nousiainen",4717
"2019M08*","Nurmes",7516
"2019M08*","Nurmijärvi",42898
"2019M08*","Närpiö",9523
"2019M08*","Orimattila",16032
"2019M08*","Oripää",1342
"2019M08*","Orivesi",9182
"2019M08*","Oulainen",7373
"2019M08*","Oulu",204610
"2019M08*","Outokumpu",6720
"2019M08*","Padasjoki",2908
"2019M08*","Paimio",10862
"2019M08*","Paltamo",3293
"2019M08*","Parainen",15174
"2019M08*","Parikkala",4772
"2019M08*","Parkano",6444
"2019M08*","Pedersören kunta",11084
"2019M08*","Pelkosenniemi",944
"2019M08*","Pello",3397
"2019M08*","Perho",2797
"2019M08*","Pertunmaa",1700
"2019M08*","Petäjävesi",3855
"2019M08*","Pieksämäki",17792
"2019M08*","Pielavesi",4451
"2019M08*","Pietarsaari",19250
"2019M08*","Pihtipudas",4049
"2019M08*","Pirkkala",19552
"2019M08*","Polvijärvi",4252
"2019M08*","Pomarkku",2104
"2019M08*","Pori",84141
"2019M08*","Pornainen",5039
"2019M08*","Porvoo",50512
"2019M08*","Posio",3209
"2019M08*","Pudasjärvi",7892
"2019M08*","Pukkila",1872
"2019M08*","Punkalaidun",2856
"2019M08*","Puolanka",2553
"2019M08*","Puumala",2150
"2019M08*","Pyhtää",5164
"2019M08*","Pyhäjoki",3109
"2019M08*","Pyhäjärvi",5170
"2019M08*","Pyhäntä",1569
"2019M08*","Pyhäranta",2025
"2019M08*","Pälkäne",6485
"2019M08*","Pöytyä",8293
"2019M08*","Raahe",24725
"2019M08*","Raasepori",27654
"2019M08*","Raisio",24162
"2019M08*","Rantasalmi",3457
"2019M08*","Ranua",3808
"2019M08*","Rauma",39319
"2019M08*","Rautalampi",3156
"2019M08*","Rautavaara",1626
"2019M08*","Rautjärvi",3281
"2019M08*","Reisjärvi",2722
"2019M08*","Riihimäki",28806
"2019M08*","Ristijärvi",1277
"2019M08*","Rovaniemi",62933
"2019M08*","Ruokolahti",5027
"2019M08*","Ruovesi",4310
"2019M08*","Rusko",6285
"2019M08*","Rääkkylä",2126
"2019M08*","Saarijärvi",9325
"2019M08*","Salla",3421
"2019M08*","Salo",52061
"2019M08*","Saltvik",1865
"2019M08*","Sastamala",24364
"2019M08*","Sauvo",2973
"2019M08*","Savitaipale",3400
"2019M08*","Savonlinna",33272
"2019M08*","Savukoski",1018
"2019M08*","Seinäjoki",63607
"2019M08*","Sievi",4947
"2019M08*","Siikainen",1447
"2019M08*","Siikajoki",5184
"2019M08*","Siikalatva",5279
"2019M08*","Siilinjärvi",21505
"2019M08*","Simo",3016
"2019M08*","Sipoo",20924
"2019M08*","Siuntio",6162
"2019M08*","Sodankylä",8328
"2019M08*","Soini",2061
"2019M08*","Somero",8761
"2019M08*","Sonkajärvi",3930
"2019M08*","Sotkamo",10301
"2019M08*","Sottunga",91
"2019M08*","Sulkava",2502
"2019M08*","Sund",1034
"2019M08*","Suomussalmi",7795
"2019M08*","Suonenjoki",7073
"2019M08*","Sysmä",3674
"2019M08*","Säkylä",6759
"2019M08*","Taipalsaari",4677
"2019M08*","Taivalkoski",3981
"2019M08*","Taivassalo",1646
"2019M08*","Tammela",6039
"2019M08*","Tampere",237392
"2019M08*","Tervo",1532
"2019M08*","Tervola",3024
"2019M08*","Teuva",5138
"2019M08*","Tohmajärvi",4378
"2019M08*","Toholampi",3071
"2019M08*","Toivakka",2397
"2019M08*","Tornio",21710
"2019M08*","Turku",192674
"2019M08*","Tuusniemi",2496
"2019M08*","Tuusula",38573
"2019M08*","Tyrnävä",6672
"2019M08*","Ulvila",12889
"2019M08*","Urjala",4734
"2019M08*","Utajärvi",2684
"2019M08*","Utsjoki",1223
"2019M08*","Uurainen",3724
"2019M08*","Uusikaarlepyy",7482
"2019M08*","Uusikaupunki",15592
"2019M08*","Vaala",2810
"2019M08*","Vaasa",67488
"2019M08*","Valkeakoski",20986
"2019M08*","Valtimo",2124
"2019M08*","Vantaa",231588
"2019M08*","Varkaus",20692
"2019M08*","Vehmaa",2286
"2019M08*","Vesanto",2033
"2019M08*","Vesilahti",4397
"2019M08*","Veteli",3133
"2019M08*","Vieremä",3602
"2019M08*","Vihti",29169
"2019M08*","Viitasaari",6210
"2019M08*","Vimpeli",2858
"2019M08*","Virolahti",3126
"2019M08*","Virrat",6619
"2019M08*","Vårdö",451
"2019M08*","Vöyri",6518
"2019M08*","Ylitornio",3964
"2019M08*","Ylivieska",15250
"2019M08*","Ylöjärvi",33126
"2019M08*","Ypäjä",2344
"2019M08*","Ähtäri",5654
"2019M08*","Äänekoski",18793
