Municipality,"(2017, 39)","(2017, 40)","(2017, 41)","(2017, 42)","(2017, 43)","(2017, 44)","(2017, 45)","(2017, 46)","(2017, 47)","(2017, 48)","(2017, 49)","(2017, 50)","(2017, 51)","(2017, 52)","(2018, 1)","(2018, 2)","(2018, 3)","(2018, 4)","(2018, 5)","(2018, 6)","(2018, 7)","(2018, 8)","(2018, 9)","(2018, 10)","(2018, 11)","(2018, 12)","(2018, 13)","(2018, 14)","(2018, 15)","(2018, 16)","(2018, 17)","(2018, 18)","(2018, 19)","(2018, 20)","(2018, 21)","(2018, 22)","(2018, 23)","(2018, 24)","(2018, 25)","(2018, 26)","(2018, 27)","(2018, 28)","(2018, 29)","(2018, 30)","(2018, 31)","(2018, 32)","(2018, 33)","(2018, 34)","(2018, 35)","(2018, 36)","(2018, 37)","(2018, 38)","(2018, 39)","(2018, 40)","(2018, 41)","(2018, 42)","(2018, 43)","(2018, 44)","(2018, 45)","(2018, 46)","(2018, 47)","(2018, 48)","(2018, 49)","(2018, 50)","(2018, 51)","(2018, 52)","(2019, 1)","(2019, 2)","(2019, 3)","(2019, 4)","(2019, 5)","(2019, 6)","(2019, 7)","(2019, 8)","(2019, 9)","(2019, 10)","(2019, 11)","(2019, 12)","(2019, 13)","(2019, 14)","(2019, 15)","(2019, 16)","(2019, 17)","(2019, 18)","(2019, 19)","(2019, 20)","(2019, 21)","(2019, 22)","(2019, 23)","(2019, 24)","(2019, 25)","(2019, 26)","(2019, 27)","(2019, 28)","(2019, 29)","(2019, 30)","(2019, 31)","(2019, 32)","(2019, 33)","(2019, 34)","(2019, 35)","(2019, 36)","(2019, 37)","(2019, 38)","(2019, 39)","(2019, 40)"
Siilinjärvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salo,-1.0,7.457142857142857,4.057142857142857,-0.12857142857142856,2.357142857142857,0.3428571428571428,2.8000000000000003,4.085714285714285,1.8571428571428572,3.4857142857142853,3.6142857142857143,2.8,1.2428571428571427,2.957142857142857,4.0874999999999995,-1.0,-0.2857142857142857,3.4857142857142853,1.1714285714285713,0.10000000000000002,-0.38571428571428573,-0.8428571428571429,-1.0,-0.12857142857142853,0.5857142857142856,-0.6428571428571429,-0.48571428571428577,1.5285714285714285,0.4,-0.5714285714285714,0.4857142857142857,2.4,-1.0,-0.12857142857142861,-1.0,-1.0,-1.0,-0.7857142857142857,2.6,0.08571428571428573,2.4142857142857146,-1.0,0.5,-1.0,-0.19999999999999998,1.3571428571428572,1.6142857142857143,1.8142857142857143,0.31428571428571417,-1.0,3.8285714285714287,0.5857142857142856,2.4285714285714284,0.15714285714285717,0.457142857142857,0.32857142857142857,2.257142857142857,-0.05714285714285715,-0.34285714285714286,0.9857142857142858,-0.39999999999999997,0.21428571428571427,3.471428571428571,-0.12857142857142856,0.12857142857142853,-0.014285714285714306,1.0333333333333332,1.7857142857142858,1.057142857142857,0.4571428571428572,2.042857142857143,3.314285714285714,0.35714285714285715,1.0999999999999999,-0.4428571428571429,1.8571428571428572,2.9714285714285715,0.7285714285714285,0.0,-0.7857142857142857,-0.1857142857142857,-0.8142857142857143,-1.0,1.4714285714285715,-0.35714285714285715,-1.0,2.442857142857143,2.1714285714285713,-0.35714285714285715,-0.32857142857142857,-0.4428571428571429,-0.38571428571428573,4.728571428571429,-0.18571428571428572,1.7714285714285711,-0.7714285714285715,-0.7857142857142857,7.957142857142857,2.3428571428571425,1.4000000000000001,-0.5,2.0142857142857142,6.42857142857143,-0.2571428571428571,0.5999999999999999,5.5
Hämeenlinna,-1.0,6.242857142857142,5.1571428571428575,-0.15714285714285708,3.728571428571428,-0.08571428571428566,1.5571428571428572,1.7285714285714284,1.9285714285714286,2.5857142857142854,2.1,2.3000000000000003,1.5571428571428572,2.085714285714286,1.9428571428571428,-0.8285714285714285,0.2,3.3,1.5571428571428572,-0.08571428571428573,-0.15714285714285717,-0.7571428571428571,-0.7999999999999999,0.19999999999999998,0.8571428571428571,0.5142857142857143,-0.5857142857142856,1.885714285714286,-0.31428571428571433,0.6571428571428573,0.7571428571428572,2.657142857142857,-1.0,-0.6285714285714287,-1.0,-1.0,-0.6142857142857142,-0.4428571428571429,3.2285714285714286,1.7142857142857142,3.371428571428571,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikkeli,0.3,4.557142857142857,3.7571428571428576,1.4285714285714286,0.8714285714285716,0.48571428571428577,3.142857142857143,1.3571428571428572,2.9571428571428577,3.4714285714285715,2.242857142857143,2.642857142857143,2.0142857142857142,3.442857142857143,2.975,-0.8285714285714285,0.42857142857142855,2.3142857142857145,0.7428571428571428,-0.2,-0.19999999999999998,-0.7428571428571429,-0.7999999999999999,0.2857142857142857,1.6428571428571428,1.2285714285714284,-0.8142857142857143,2.6857142857142864,-0.0571428571428572,0.5428571428571428,0.3428571428571429,2.128571428571429,-0.7714285714285715,0.4142857142857143,-1.0,-1.0,-0.22857142857142856,-0.8142857142857143,2.8714285714285714,1.7285714285714289,5.1571428571428575,-1.0,0.21428571428571422,-1.0,3.7714285714285714,0.7999999999999999,0.35714285714285715,2.7142857142857144,-0.2285714285714286,0.7142857142857142,4.514285714285714,1.9571428571428569,2.1142857142857143,1.3285714285714287,0.5571428571428572,0.9714285714285715,0.6428571428571429,0.5285714285714286,-0.028571428571428564,0.47142857142857125,-0.6714285714285714,1.042857142857143,1.8714285714285714,-0.5285714285714286,0.2857142857142857,0.757142857142857,3.3833333333333333,0.5714285714285714,1.6714285714285715,0.3714285714285714,1.8285714285714287,2.3857142857142857,0.4428571428571428,0.4428571428571429,0.19999999999999998,1.7714285714285716,2.257142857142857,0.07142857142857142,0.9857142857142857,-0.8285714285714285,2.4285714285714284,-1.0,-1.0,0.9285714285714286,4.257142857142857,-1.0,3.2428571428571433,1.6142857142857143,0.6714285714285715,-0.22857142857142856,0.5571428571428572,0.08571428571428574,4.885714285714286,-0.39999999999999997,-0.31428571428571433,-1.0,-0.24285714285714285,-0.3285714285714286,2.1285714285714286,1.6428571428571428,-0.8285714285714285,1.0285714285714285,4.714285714285714,0.5285714285714286,-0.5285714285714286,7.25
Naantali,-1.0,6.1000000000000005,5.142857142857143,-0.4428571428571429,2.7142857142857144,0.41428571428571426,2.185714285714286,1.614285714285714,1.2285714285714284,5.285714285714286,9.5,2.757142857142857,1.157142857142857,3.3142857142857145,4.05,-0.8285714285714285,-0.37142857142857144,3.014285714285714,1.9714285714285713,-0.3285714285714286,-0.18571428571428575,-1.0,-1.0,0.07142857142857142,0.08571428571428566,-0.41428571428571426,-0.8285714285714285,1.6285714285714283,0.5142857142857143,-0.8285714285714285,-0.15714285714285717,2.1714285714285713,-1.0,-0.2571428571428572,-1.0,-1.0,-1.0,-0.5714285714285714,1.7285714285714284,-0.14285714285714288,2.1142857142857143,1.8142857142857143,1.4000000000000001,0.5,1.2571428571428573,1.0142857142857142,0.9142857142857144,0.5142857142857142,0.3857142857142857,-0.38571428571428573,7.142857142857143,0.014285714285714282,2.1714285714285713,-0.18571428571428575,0.5,6.344131569286608e-17,1.2142857142857142,0.0285714285714286,0.38571428571428573,1.842857142857143,-0.8428571428571429,0.3285714285714286,6.185714285714286,0.04285714285714283,0.7857142857142856,0.29999999999999993,0.8833333333333334,1.7714285714285716,1.0285714285714287,0.8714285714285713,2.685714285714286,3.785714285714285,0.5714285714285714,0.0,-0.5571428571428572,2.0571428571428574,2.885714285714286,0.6,1.0,-0.37142857142857144,-0.5,-0.8285714285714285,-1.0,0.29999999999999993,-0.6285714285714287,-1.0,2.185714285714286,1.8714285714285714,-0.5428571428571428,-0.6285714285714287,0.028571428571428564,-0.48571428571428577,2.657142857142857,0.31428571428571417,3.642857142857143,-1.0,-0.7285714285714285,4.442857142857143,6.185714285714285,-0.042857142857142864,-0.7999999999999999,5.642857142857143,7.442857142857142,0.31428571428571433,0.5000000000000001,7.85
Nokia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hämeenkyrö,0.2,7.685714285714285,3.857142857142857,0.32857142857142857,4.1,0.7142857142857143,1.557142857142857,1.8571428571428572,2.2714285714285714,2.1714285714285713,3.885714285714286,3.2428571428571433,1.6285714285714286,4.242857142857143,5.500000000000001,-1.0,0.5428571428571429,4.371428571428571,2.3428571428571425,0.4142857142857143,1.1142857142857143,-0.4857142857142857,-0.8571428571428571,0.4571428571428572,2.2,0.31428571428571433,-1.0,1.5285714285714285,-0.7285714285714285,0.9,0.5428571428571428,3.9,-1.0,-1.0,-1.0,-1.0,-0.7999999999999999,6.071428571428571,6.128571428571428,0.6,2.0428571428571423,3.1714285714285713,1.3571428571428572,-0.8571428571428571,2.085714285714286,-0.6142857142857142,0.18571428571428575,2.9714285714285715,0.07142857142857142,-0.5428571428571428,3.5285714285714285,4.442857142857142,3.1142857142857143,1.0714285714285714,1.6999999999999997,1.1,1.442857142857143,0.8428571428571429,0.9571428571428572,0.6285714285714287,-1.0,1.2714285714285711,2.6999999999999997,0.11428571428571425,-0.1142857142857143,0.20000000000000004,2.9166666666666665,0.48571428571428577,0.7285714285714285,0.8857142857142858,3.614285714285714,5.200000000000001,-0.14285714285714285,0.3428571428571429,0.0285714285714286,1.1428571428571428,3.3285714285714287,0.042857142857142864,-1.0,2.314285714285714,4.785714285714286,-0.7142857142857143,-1.0,0.6285714285714287,1.6285714285714286,-1.0,4.171428571428572,1.9714285714285713,1.2142857142857142,-0.8285714285714285,-0.38571428571428573,0.5428571428571428,2.9285714285714284,-0.8142857142857143,0.6714285714285716,-0.0571428571428572,-1.0,2.142857142857143,5.257142857142857,1.2428571428571427,1.0428571428571427,4.433333333333334,12.9,0.39999999999999997,1.2714285714285716,4.3999999999999995
Alavus,0.2,3.2714285714285714,2.9285714285714284,1.0142857142857142,2.8857142857142857,0.48571428571428577,0.6142857142857142,1.6428571428571428,1.1857142857142857,1.7142857142857142,1.9857142857142855,2.5857142857142854,1.6428571428571428,2.857142857142857,2.5875,-0.6857142857142857,0.7285714285714285,2.1714285714285713,1.742857142857143,0.2,0.942857142857143,-0.5285714285714286,-0.32857142857142857,0.2,1.2428571428571427,0.942857142857143,-0.8571428571428571,2.757142857142857,-0.6142857142857142,3.3428571428571425,1.3285714285714287,2.4571428571428577,-1.0,-0.7999999999999999,-1.0,-0.8571428571428571,-0.4714285714285714,-0.7857142857142857,5.685714285714285,1.0,1.5857142857142859,-0.12857142857142856,0.3,-1.0,1.7428571428571427,-0.6,0.7142857142857143,1.8571428571428572,-0.27142857142857146,-0.8571428571428571,3.8,2.1142857142857143,0.4571428571428572,-0.0285714285714286,-0.0571428571428572,0.3714285714285715,0.2857142857142857,0.5714285714285714,0.32857142857142857,-0.14285714285714285,-1.0,-0.4428571428571429,2.957142857142857,0.3,0.18571428571428572,0.32857142857142857,2.0333333333333337,0.2857142857142857,1.1,0.44285714285714295,4.2,2.242857142857143,-0.38571428571428573,0.028571428571428588,0.6,1.3142857142857143,1.657142857142857,0.09999999999999996,-0.8571428571428571,-0.0857142857142857,0.7999999999999999,-0.8571428571428571,-1.0,1.4714285714285715,3.3000000000000003,-0.7142857142857143,6.028571428571429,2.0285714285714285,1.9142857142857141,-0.32857142857142857,-0.042857142857142864,0.5714285714285713,1.5142857142857145,-0.8142857142857143,2.6571428571428575,-1.0,-0.8571428571428571,3.6,4.214285714285714,0.7142857142857144,0.4571428571428572,2.585714285714286,2.242857142857143,0.3,0.38571428571428573,9.45
