Municipality,"(2017, 39)","(2017, 40)","(2017, 41)","(2017, 42)","(2017, 43)","(2017, 44)","(2017, 45)","(2017, 46)","(2017, 47)","(2017, 48)","(2017, 49)","(2017, 50)","(2017, 51)","(2017, 52)","(2018, 1)","(2018, 2)","(2018, 3)","(2018, 4)","(2018, 5)","(2018, 6)","(2018, 7)","(2018, 8)","(2018, 9)","(2018, 10)","(2018, 11)","(2018, 12)","(2018, 13)","(2018, 14)","(2018, 15)","(2018, 16)","(2018, 17)","(2018, 18)","(2018, 19)","(2018, 20)","(2018, 21)","(2018, 22)","(2018, 23)","(2018, 24)","(2018, 25)","(2018, 26)","(2018, 27)","(2018, 28)","(2018, 29)","(2018, 30)","(2018, 31)","(2018, 32)","(2018, 33)","(2018, 34)","(2018, 35)","(2018, 36)","(2018, 37)","(2018, 38)","(2018, 39)","(2018, 40)","(2018, 41)","(2018, 42)","(2018, 43)","(2018, 44)","(2018, 45)","(2018, 46)","(2018, 47)","(2018, 48)","(2018, 49)","(2018, 50)","(2018, 51)","(2018, 52)","(2019, 1)","(2019, 2)","(2019, 3)","(2019, 4)","(2019, 5)","(2019, 6)","(2019, 7)","(2019, 8)","(2019, 9)","(2019, 10)","(2019, 11)","(2019, 12)","(2019, 13)","(2019, 14)","(2019, 15)","(2019, 16)","(2019, 17)","(2019, 18)","(2019, 19)","(2019, 20)","(2019, 21)","(2019, 22)","(2019, 23)","(2019, 24)","(2019, 25)","(2019, 26)","(2019, 27)","(2019, 28)","(2019, 29)","(2019, 30)","(2019, 31)","(2019, 32)","(2019, 33)","(2019, 34)","(2019, 35)","(2019, 36)","(2019, 37)","(2019, 38)","(2019, 39)","(2019, 40)"
Siilinjärvi,6.2,7.585714285714286,6.542857142857144,3.142857142857143,-0.1,-1.342857142857143,3.4857142857142853,0.8428571428571429,-1.5,0.0428571428571428,-1.5857142857142856,-1.7142857142857142,-2.042857142857143,-2.0285714285714285,-1.825,-4.857142857142857,-9.157142857142857,-5.5142857142857125,-9.842857142857143,-9.785714285714286,-6.457142857142857,-14.98571428571429,-13.342857142857142,-9.228571428571428,-6.2,-6.928571428571428,-5.800000000000002,0.31428571428571433,3.175,2.7750000000000004,4.785714285714286,5.642857142857143,12.985714285714286,16.2,16.814285714285713,16.142857142857142,8.9,14.780000000000001,14.166666666666666,14.957142857142856,16.15714285714286,20.24285714285714,23.742857142857144,22.685714285714287,22.22857142857143,19.171428571428574,16.942857142857143,15.285714285714283,15.22857142857143,14.685714285714287,11.900000000000002,12.214285714285714,5.814285714285714,3.971428571428571,8.87142857142857,7.7142857142857135,1.0,-1.1,3.175,4.4714285714285715,-2.2857142857142856,-3.8,-1.4857142857142855,-4.285714285714286,-10.071428571428571,-5.966666666666668,-8.700000000000001,-4.5,-12.557142857142859,-18.842857142857145,-15.957142857142857,-4.316666666666666,-1.9,-3.685714285714286,-3.085714285714286,-5.757142857142855,-3.814285714285714,1.0857142857142856,0.8857142857142858,3.257142857142857,-0.2333333333333334,6.016666666666667,9.385714285714286,3.185714285714286,7.542857142857143,11.442857142857141,9.928571428571429,11.271428571428572,19.25714285714286,14.700000000000001,19.371428571428574,14.22857142857143,15.414285714285715,11.814285714285715,16.742857142857144,21.6,11.428571428571429,14.6,15.266666666666666,14.533333333333333,17.75714285714286,14.614285714285716,12.285714285714286,5.228571428571428,6.142857142857143,8.7
Oulu,6.0,7.471428571428571,6.299999999999999,3.371428571428571,-0.02857142857142855,-1.485714285714286,3.0571428571428574,-0.042857142857142864,-1.9571428571428573,0.5142857142857143,-2.3000000000000003,-1.9428571428571428,-2.4857142857142853,-5.214285714285715,-2.7,-4.5,-9.057142857142859,-7.242857142857143,-11.5,-10.471428571428572,-6.3428571428571425,-16.74285714285714,-11.071428571428571,-7.299999999999999,-8.785714285714286,-9.700000000000001,-8.228571428571428,-1.514285714285714,-0.585714285714286,1.542857142857143,2.8,4.5,9.642857142857142,11.457142857142856,12.442857142857141,13.2,9.228571428571428,13.357142857142858,13.442857142857141,13.957142857142857,17.128571428571426,20.542857142857144,24.11428571428571,21.75714285714286,21.928571428571427,18.057142857142857,15.857142857142858,14.328571428571427,14.385714285714284,14.414285714285715,12.72857142857143,12.228571428571428,7.371428571428572,4.757142857142857,8.6,7.171428571428573,1.485714285714286,1.4142857142857144,4.414285714285715,4.328571428571428,0.9999999999999999,-0.9857142857142857,-0.9714285714285714,-2.2714285714285714,-8.6,-4.2,-6.483333333333333,-4.228571428571429,-15.442857142857145,-19.957142857142856,-14.585714285714287,-9.314285714285715,-4.342857142857143,-4.585714285714286,-4.671428571428572,-8.17142857142857,-3.757142857142857,0.5571428571428572,-0.6142857142857142,2.142857142857143,-0.5,1.7571428571428573,4.928571428571429,2.4428571428571426,6.928571428571429,8.328571428571427,9.914285714285715,9.585714285714285,15.92857142857143,13.328571428571427,15.914285714285715,13.471428571428573,13.885714285714284,13.171428571428573,15.557142857142859,21.099999999999998,11.628571428571428,13.514285714285714,15.528571428571427,14.257142857142856,17.34285714285714,13.742857142857144,12.785714285714286,6.3,7.557142857142857,9.85
Salo,9.2,8.799999999999999,7.257142857142857,4.328571428571428,1.0428571428571427,2.614285714285714,4.171428571428572,2.4857142857142853,1.9,2.585714285714286,0.7714285714285714,0.3571428571428572,0.6714285714285715,1.2571428571428573,1.1625,-3.185714285714286,-7.328571428571428,-0.2571428571428573,-3.185714285714286,-6.757142857142858,-2.814285714285714,-14.457142857142859,-13.957142857142857,-3.7,-3.6,-1.7714285714285711,-3.3142857142857145,1.5285714285714285,4.1000000000000005,7.942857142857142,6.357142857142857,8.5,14.685714285714285,16.657142857142855,16.72857142857143,17.528571428571432,12.342857142857142,17.22857142857143,14.699999999999998,16.700000000000003,16.457142857142856,20.414285714285715,22.400000000000002,23.67142857142857,23.357142857142858,19.485714285714288,16.62857142857143,15.514285714285714,14.785714285714286,16.542857142857144,13.057142857142859,13.528571428571428,7.857142857142857,6.1,9.514285714285716,8.171428571428573,2.8857142857142857,4.857142857142857,6.0,6.485714285714286,-1.3428571428571427,-3.2285714285714286,1.4285714285714286,-1.1428571428571428,-4.2,-1.9999999999999998,-3.483333333333333,-1.6999999999999997,-7.242857142857142,-11.085714285714285,-3.971428571428571,-0.7714285714285716,0.6571428571428573,-1.9285714285714288,0.27142857142857135,-2.371428571428571,-1.2857142857142854,2.4,2.0285714285714285,4.471428571428571,1.3714285714285717,7.514285714285713,11.642857142857142,4.628571428571428,8.357142857142858,12.1,14.457142857142857,11.62857142857143,20.071428571428573,16.385714285714286,18.942857142857143,16.271428571428572,14.671428571428569,15.271428571428572,17.45714285714286,22.028571428571432,14.900000000000002,16.157142857142855,16.685714285714287,16.128571428571426,18.528571428571432,13.842857142857143,13.971428571428572,7.085714285714286,7.385714285714285,9.3
Hämeenlinna,8.0,7.857142857142857,6.457142857142856,4.2,0.4857142857142857,1.157142857142857,3.8571428571428568,1.9428571428571428,0.9571428571428572,1.4142857142857144,-0.17142857142857146,-0.22857142857142862,-0.31428571428571433,0.14285714285714282,-0.012499999999999845,-3.4571428571428564,-7.342857142857143,-2.1571428571428575,-5.785714285714286,-7.671428571428571,-3.985714285714286,-14.285714285714286,-15.22857142857143,-5.071428571428571,-4.7,-2.942857142857143,-4.5,1.6428571428571428,4.214285714285714,7.814285714285714,5.5,8.37142857142857,14.942857142857141,17.128571428571426,17.371428571428574,17.557142857142857,11.671428571428569,16.885714285714283,14.328571428571427,16.585714285714285,15.92857142857143,20.114285714285717,22.871428571428574,23.62857142857143,22.985714285714288,18.928571428571427,16.742857142857144,15.685714285714285,14.442857142857145,16.114285714285717,12.914285714285715,13.12857142857143,6.871428571428573,5.471428571428571,9.814285714285715,8.457142857142857,2.271428571428572,4.228571428571429,5.328571428571428,5.685714285714286,-1.942857142857143,-3.0714285714285707,0.41428571428571426,-2.4857142857142853,-5.028571428571429,-2.357142857142857,-5.066666666666666,-3.2714285714285714,-8.1,-12.614285714285714,-7.171428571428572,-1.5714285714285714,0.5857142857142856,-2.157142857142857,-0.8714285714285713,-3.5142857142857147,-2.5857142857142854,2.1999999999999997,2.5,4.685714285714285,1.0142857142857142,6.985714285714286,12.114285714285714,4.928571428571429,8.085714285714285,12.27142857142857,14.1,11.8,19.2,,,,,,,,,,,,,,,,,
Tampere,8.1,8.071428571428573,7.042857142857142,4.5857142857142845,0.6857142857142856,2.0714285714285716,4.4,2.314285714285714,1.157142857142857,1.6714285714285713,-3.172065784643304e-17,-0.24285714285714288,0.0,0.2571428571428572,-0.2749999999999999,-3.1428571428571432,-7.671428571428571,-2.2571428571428576,-6.714285714285714,-7.457142857142857,-3.5285714285714285,-14.4,-14.814285714285713,-4.9571428571428555,-5.214285714285714,-2.3428571428571425,-3.985714285714286,1.8285714285714287,4.414285714285714,7.3999999999999995,5.971428571428571,7.957142857142856,15.814285714285713,17.342857142857145,17.914285714285715,17.714285714285715,11.928571428571429,17.099999999999998,14.542857142857143,16.557142857142853,16.314285714285713,21.17142857142857,24.38571428571429,25.32857142857143,23.614285714285717,19.3,17.557142857142857,16.02857142857143,15.400000000000002,16.857142857142858,13.128571428571432,13.042857142857143,7.557142857142857,6.328571428571428,10.471428571428572,9.071428571428571,2.5714285714285716,4.242857142857143,5.642857142857143,5.828571428571428,-0.8714285714285713,-1.9857142857142855,0.6285714285714287,-2.2142857142857144,-4.714285714285714,-1.8571428571428572,-4.1499999999999995,-2.5714285714285716,-7.642857142857144,-11.400000000000002,-8.814285714285713,-2.0571428571428574,0.7857142857142858,-1.614285714285715,-1.1142857142857143,-3.8,-2.028571428571429,2.442857142857143,2.5428571428571423,5.5857142857142845,0.6714285714285715,7.3999999999999995,12.0,5.014285714285714,8.342857142857143,12.642857142857142,14.828571428571427,11.857142857142858,20.857142857142858,15.700000000000001,19.599999999999998,16.24285714285714,15.371428571428572,15.057142857142855,18.857142857142858,23.957142857142856,14.742857142857142,17.65714285714286,17.314285714285713,16.857142857142858,19.785714285714285,14.457142857142856,13.62857142857143,7.671428571428573,8.000000000000002,8.9
Mikkeli,7.1,7.4,6.071428571428571,3.6285714285714277,-0.5142857142857143,-1.2999999999999996,3.3714285714285714,1.3,-0.8285714285714284,0.4857142857142857,-1.0714285714285714,-1.157142857142857,-1.2714285714285716,-0.6714285714285715,-0.8875,-4.4714285714285715,-7.971428571428571,-5.47142857142857,-9.071428571428571,-8.87142857142857,-6.185714285714285,-15.499999999999998,-17.071428571428573,-6.700000000000001,-5.428571428571429,-5.371428571428571,-6.585714285714286,0.8142857142857143,2.3428571428571425,5.92857142857143,5.314285714285714,7.442857142857142,13.42857142857143,15.185714285714285,16.542857142857144,16.12857142857143,9.842857142857142,16.157142857142855,14.98571428571429,15.742857142857144,15.0,19.085714285714285,21.999999999999996,22.214285714285715,21.171428571428574,18.271428571428572,16.45714285714286,15.528571428571428,14.742857142857142,14.5,11.757142857142856,12.200000000000001,5.5,3.2857142857142856,8.999999999999998,7.3,0.9857142857142858,2.2714285714285714,4.642857142857143,4.628571428571429,-2.528571428571428,-4.0,-1.0714285714285712,-3.9285714285714284,-8.871428571428572,-4.357142857142857,-7.483333333333334,-4.771428571428572,-9.671428571428573,-15.87142857142857,-10.842857142857143,-2.928571428571428,-0.7857142857142856,-3.442857142857143,-2.2285714285714286,-4.7,-3.4285714285714293,1.3142857142857143,1.1,3.1,-0.22857142857142865,5.0,9.757142857142856,4.285714285714286,7.714285714285714,11.414285714285715,12.114285714285714,11.528571428571428,19.58571428571429,14.228571428571428,18.799999999999994,14.857142857142858,14.385714285714284,11.957142857142857,16.114285714285717,20.599999999999998,11.257142857142856,13.985714285714286,15.614285714285716,14.142857142857142,16.385714285714283,13.457142857142857,12.514285714285716,4.871428571428572,5.571428571428571,8.7
Naantali,9.7,8.985714285714286,7.499999999999999,4.628571428571428,1.6285714285714283,3.6000000000000005,5.057142857142857,3.0714285714285707,2.1,2.642857142857143,1.385714285714286,0.6714285714285715,1.4285714285714284,1.6285714285714283,1.225,-2.3428571428571425,-6.685714285714285,0.29999999999999993,-3.542857142857143,-6.257142857142858,-2.2857142857142856,-11.328571428571427,-12.442857142857141,-3.4285714285714284,-3.5,-1.0857142857142856,-2.814285714285714,1.7571428571428573,4.571428571428571,7.200000000000001,6.414285714285714,8.242857142857142,15.671428571428573,17.22857142857143,17.142857142857142,17.414285714285715,12.328571428571427,17.099999999999998,14.785714285714286,16.428571428571427,16.7,20.87142857142857,23.157142857142855,24.314285714285713,23.67142857142857,19.542857142857144,17.485714285714284,16.642857142857142,16.071428571428573,17.371428571428574,13.857142857142858,14.585714285714285,8.485714285714286,6.8,10.87142857142857,9.285714285714286,3.2428571428571424,5.528571428571429,6.699999999999998,6.728571428571429,-0.21428571428571436,-0.2285714285714285,2.314285714285714,-1.057142857142857,-3.8285714285714283,-0.8999999999999998,-2.4,-0.7571428571428571,-5.3428571428571425,-8.714285714285714,-3.6999999999999993,-0.5571428571428569,1.4,-1.1857142857142855,0.7857142857142857,-2.2285714285714286,-0.814285714285714,2.5714285714285716,2.642857142857143,5.1571428571428575,1.5714285714285714,8.200000000000001,12.928571428571429,5.0,8.657142857142857,12.785714285714286,15.214285714285714,11.72857142857143,19.699999999999996,16.671428571428574,19.17142857142857,16.357142857142858,15.200000000000001,15.542857142857144,17.87142857142857,22.814285714285713,15.514285714285714,16.95714285714286,17.32857142857143,17.071428571428573,19.514285714285712,14.542857142857143,14.400000000000002,8.185714285714285,8.4,9.149999999999999
Nokia,7.5,7.428571428571428,6.057142857142858,3.2285714285714286,0.014285714285714266,1.0285714285714287,3.685714285714286,1.6142857142857143,0.7142857142857143,1.1428571428571428,-0.7571428571428571,-0.7,-0.7000000000000001,-0.4428571428571428,-0.725,-4.071428571428571,-8.457142857142857,-2.7428571428571416,-6.685714285714286,-7.8428571428571425,-4.2,-15.014285714285714,-15.842857142857143,-5.757142857142859,-5.357142857142856,-3.1714285714285717,-5.6000000000000005,0.9857142857142858,3.385714285714286,6.885714285714285,4.766666666666667,7.642857142857143,15.02857142857143,16.3,16.7,16.685714285714287,10.971428571428573,15.52,13.116666666666667,15.77142857142857,16.028571428571432,19.685714285714287,22.685714285714283,23.842857142857138,22.38571428571429,18.1,16.342857142857145,15.142857142857142,13.87142857142857,15.728571428571428,12.042857142857143,12.457142857142856,6.299999999999999,4.7,9.614285714285714,8.1,1.7,3.5857142857142854,5.128571428571428,5.357142857142857,-2.7142857142857144,-2.9142857142857146,-1.1,-4.38,-5.485714285714286,-2.742857142857143,-4.866666666666666,-3.4999999999999996,-8.971428571428572,-12.683333333333332,-8.785714285714286,-2.4,1.427429603089487e-16,-2.5571428571428565,-1.4428571428571428,-4.557142857142858,-2.4285714285714293,1.7428571428571427,1.6,4.6571428571428575,-0.5833333333333334,7.1499999999999995,11.271428571428572,4.028571428571429,7.642857142857144,11.485714285714286,14.014285714285716,10.842857142857143,19.642857142857142,14.657142857142857,18.285714285714285,15.185714285714285,13.985714285714286,13.857142857142858,16.84285714285714,21.928571428571427,13.200000000000001,15.87142857142857,15.985714285714284,15.35714285714286,18.357142857142858,13.385714285714286,12.985714285714284,6.142857142857143,6.128571428571428,8.25
Hämeenkyrö,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alavus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
